,INC_
12000,15052
24000,6954
40222,5641
35222,3873
13000,3609
3111,3557
82000,3354
82222,3167
42000,2774
5000,2571
56466,2465
54222,2439
35333,2373
3000,2301
27111,2268
94555,2052
23300,2026
14000,1993
23500,1974
3211,1797
4999,1760
25211,1732
24244,1655
56000,1593
94000,1492
5100,1485
23400,1295
6000,1294
70111,1258
3021,1234
28000,1119
9000,1063
3121,985
40112,932
23900,780
61000,777
14100,767
1111,720
27000,698
4111,690
12401,670
29300,629
31222,620
100,609
12341,592
22000,585
25111,564
54111,557
40155,518
9500,508
29500,499
23600,465
94444,458
82133,435
12311,417
23800,414
40166,398
41000,394
61111,363
4444,333
24122,326
24166,312
17400,302
16000,300
56400,293
56366,283
17100,248
28444,240
1222,239
29400,231
40133,220
42100,215
24255,212
9300,209
37000,197
23310,191
82333,189
40111,186
24144,176
14720,176
29510,175
31100,169
11200,165
14400,160
82666,153
51000,140
41100,137
29100,137
8111,127
82888,126
31444,125
3221,119
82111,110
27222,107
12100,107
21000,103
4222,99
40333,99
61009,94
8000,92
9200,90
9600,87
14900,85
9800,83
11999,83
42200,83
38910,81
14710,79
38900,78
45111,76
39100,72
29600,72
38700,72
16666,70
94449,70
9700,65
99999,63
9400,63
54112,62
5300,60
14600,60
14730,57
27444,55
8333,55
40122,55
82122,53
8222,49
56300,49
29200,47
9100,47
35444,46
4333,45
61222,43
16555,40
82444,36
35111,34
4555,33
94102,32
31500,31
23700,31
4666,30
11300,29
35555,27
9900,27
23200,24
39210,23
44000,22
14500,20
28333,19
23100,19
54333,19
47333,18
4777,18
94888,17
17300,16
56100,15
14150,15
24222,15
31333,13
44122,12
11510,11
5200,11
44199,10
44144,10
94800,9
47222,9
36000,8
21500,8
8555,8
31811,8
61119,7
44133,7
11100,7
31223,7
47444,6
3311,6
52000,6
40144,5
35666,4
48000,4
40555,4
14300,4
27333,3
12345,3
48100,3
7000,3
26000,3
39220,3
38300,2
240,2
40185,2
12344,2
31700,2
15111,2
17500,2
14800,2
24133,1
120,1
12500,1
5640,1
54566,1
9,1
23000,1
3112,1
55222,1
17200,1
72111,1
