,category,count
0,CHECK,22362
1,DISTURBANCE,16839
2,TRAFFIC,15657
3,OTHER,7718
4,PARKING,7623
5,LARCENY,7220
6,DOMESTIC,5094
7,ALCOHOL,3418
8,NARCOTICS,3131
9,VANDALISM,3072
10,FALSE_ALARM,3008
11,MENTAL,2758
12,ASSAULT,2642
13,FRAUD,1790
14,TRESPASSING,1655
15,MEDICAL,1593
16,CHILD_ABUSE,1498
17,BURGLARY,1294
18,TELEPHONE,1284
19,WARRANT,1258
20,FORGERY,778
21,OPS,752
22,VOID,679
23,THEFT,433
24,SUICIDE,361
25,WEAPONS,350
26,PROTECTION_ORDER,212
27,ROBBERY,197
28,LITTERING,176
29,SEX_OFFENSE,152
30,EMBEZZLEMENT,140
31,FALSE_INFORMATION,111
32,FIRE,110
33,SEX_OFFENDER,81
34,ARSON,76
35,PORNOGRAPHY,72
36,ANIMAL,61
37,PROWLER,34
38,BOMB,33
39,ADULT_ABUSE,27
40,STALKING,27
41,PROSTITUTION,26
42,TOXIN,15
43,SOLICIT,15
44,MURDER,11
45,ESCAPEE,10
46,CRIME_PREVENTION,7
47,EXTORTION,6
48,FIREWORKS,5
49,THREAT_MANAGEMENT,4
50,ESCORT,2
51,HEALTH_CODE,1
52,KIDNAPPING,1
53,PARADE,1
