,category,count
0,TRAFFIC,23280
1,CHECK,22362
2,DISTURBANCE,18494
3,OTHER,7719
4,LARCENY,7220
5,MENTAL,6140
6,DOMESTIC,5094
7,ALCOHOL,3247
8,VANDALISM,3072
9,FALSE_ALARM,3008
10,ASSAULT,2644
11,FORGERY/FRAUD,2568
12,MEDICAL,1608
13,CHILD_ABUSE,1498
14,BURGLARY,1294
15,TELEPHONE,1284
16,WARRANT,1258
17,OPS,752
18,VOID,679
19,THEFT,433
20,WEAPONS,350
21,ILLEGAL_SALE,281
22,PROTECTION_ORDER,212
23,ROBBERY,197
24,LITTERING,176
25,SEX_OFFENSE,150
26,EMBEZZLEMENT,140
27,FALSE_INFORMATION,111
28,FIRE,110
29,SEX_OFFENDER,81
30,ARSON,76
31,PORNOGRAPHY,72
32,ANIMAL,61
33,PROWLER,34
34,BOMB,33
35,ADULT_ABUSE,27
36,STALKING,27
37,PROSTITUTION,26
38,SOLICIT,15
39,MURDER,11
40,ESCAPEE,10
41,CRIME_PREVENTION,7
42,EXTORTION,6
43,FIREWORKS,5
44,THREAT_MANAGEMENT,4
45,ESCORT,2
46,HEALTH_CODE,1
47,KIDNAPPING,1
